"STNAME","CTYNAME","TOT_POP","Pmale","Pwhite","Pblack","Pasian","Phispanic","Page1","Page2","Page3","Page4","Page5","Page6","Page7","Page8","Page9","Page10","Page11","Page12","Page13","Page14","Page15","Page16","Page17","Page18"
"Washington","Mason County",65507,0.519730715801365,0.876913917596593,0.0146243912864274,0.0136321309173065,0.103820965698322,0.0526355961958264,0.0544063993161036,0.0551696765231197,0.0504373578396202,0.051429618208741,0.062985635122964,0.0567114964812921,0.058421237425008,0.0509105897079701,0.0568794174668356,0.0602225716335659,0.0758086922008335,0.0859755445982872,0.0791518463675638,0.0629551040346833,0.0410032515609019,0.0250049613018456,0.0198910040148381
"Washington","Okanogan County",42132,0.503441564606475,0.815342257666382,0.00944650147156556,0.0120810785151429,0.204998575904301,0.0623991265546378,0.0675258710718694,0.0657932213044717,0.0565840691161113,0.04687648343302,0.0560856356213804,0.0550887686319187,0.0577708155321371,0.0534035887211621,0.0575097313206114,0.0532849140795595,0.0703977973986519,0.081434539067692,0.0743377954998576,0.0593847906579322,0.0372401025348903,0.0239485426754011,0.0209342067786955
"Washington","Pacific County",22036,0.499319295697949,0.899301143583227,0.0117534942820839,0.0210564530767834,0.0980214194953712,0.0421582864403703,0.0420675258667635,0.0471047377019423,0.0427936104556181,0.0406153566890543,0.0467870756943184,0.0463786531130877,0.0528680341259757,0.0446088219277546,0.0492376111817027,0.0594027954256671,0.0753312760936649,0.103739335632601,0.105917589399165,0.0866309675077147,0.0537756398620439,0.0327191867852605,0.0278634960972953
"Washington","Pend Oreille County",13602,0.508895750624908,0.911042493750919,0.00661667401852669,0.0127922364358183,0.0377150419056021,0.0484487575356565,0.0512424643434789,0.0563887663578885,0.0584472871636524,0.041243934715483,0.0421996765181591,0.045213939126599,0.0472724599323629,0.0463902367298927,0.0557270989560359,0.0651374797823849,0.0843993530363182,0.0980002940744008,0.0938097338626672,0.0760917512130569,0.0438170857226878,0.0239670636671078,0.0222026172621673
"Washington","Pierce County",891299,0.497400984405906,0.747581900125547,0.0758959675709274,0.0691765614008318,0.111245496741273,0.0672894281268127,0.0664131789668787,0.064264629490216,0.0595198693143378,0.0660698598337932,0.0813901956582471,0.0755526484378418,0.0718984313905883,0.0608538773183859,0.0621418850464322,0.0617211508147098,0.065369758072207,0.0593627952011615,0.0477617499851341,0.0362111928769134,0.0237439961225133,0.0149545775323432,0.0154807758114841
"Washington","San Juan County",17128,0.483769266697805,0.93922232601588,0.00782344698738907,0.0151798225128445,0.0665576833255488,0.0285497431106959,0.0354974311069594,0.0405184493227464,0.0390004670714619,0.0380079402148529,0.0375992526856609,0.04542269967305,0.0478748248482018,0.046823914058851,0.0507940214852872,0.0601354507239608,0.0828468005604858,0.106025221858944,0.117526856609061,0.102580569827184,0.0584423166744512,0.0331036898645493,0.0292503503035965
"Washington","Skagit County",128206,0.495639829649158,0.902586462412056,0.0109121257975446,0.024070636319673,0.18663713086751,0.060683587351606,0.0607147871394475,0.0609487855482583,0.05687721323495,0.0558710200770635,0.06487995881628,0.0612685833736331,0.0622981763724007,0.0555902219864905,0.0562844172659626,0.0568304135531878,0.0688423318721433,0.0715021137856263,0.0683353353197198,0.0554966226229662,0.0369093490164267,0.0230488432678658,0.0236182393959721
"Washington","Skamania County",11924,0.50830258302583,0.929889298892989,0.00670915800067092,0.0103991949010399,0.0633176786313318,0.0439449849043945,0.0512411942301241,0.054679637705468,0.0547635021804763,0.0440288493794029,0.0497316336799732,0.0530023482053002,0.057950352230795,0.0607178799060718,0.065330426031533,0.0685172760818517,0.0888124790338812,0.0970311975847031,0.074220060382422,0.0584535390808454,0.0345521637034552,0.021049983227105,0.0219724924521972
"Washington","Snohomish County",814901,0.501725976529664,0.775975241164264,0.036738205008952,0.116371191101741,0.104440907545825,0.0639132851720638,0.0625548379496405,0.0632150408454524,0.0572867133553646,0.0565283390252313,0.0730665442796119,0.0767970587838277,0.0762423901799114,0.0657429552792302,0.0683862211483358,0.0674560468081399,0.0710478941613767,0.0630616479793251,0.0487175742820294,0.0352153206340402,0.0220603484349633,0.0139464793882938,0.014761302293162
"Washington","Spokane County",514631,0.495875685685472,0.890842176238897,0.0200318286306111,0.0242970205836803,0.0592133004035901,0.0609912733589698,0.0613857307468847,0.0621901906414499,0.063317211749778,0.0671801737555647,0.078829297108025,0.0711461221729744,0.0661386508002821,0.057310966498326,0.0598564796912739,0.058935431406192,0.0665972318029812,0.0642984973699602,0.0563471691367213,0.041693951588614,0.0270854262568714,0.0175174056751342,0.0191787902399972
"Washington","Stevens County",45260,0.49909412284578,0.891736632788334,0.00554573574900575,0.00813079982324348,0.0378479893946089,0.0537781705700398,0.0591913389306231,0.0641405214317278,0.0588599204595669,0.0453380468404772,0.0477021652673442,0.04584622182943,0.0502209456473708,0.0515687140963323,0.0571586389748122,0.0617322138753867,0.0802695536897923,0.0912726469288555,0.0837604949182501,0.0625276182059213,0.0416482545293858,0.0240167918692002,0.0209677419354839
"Washington","Thurston County",286419,0.489269217475098,0.818329091296318,0.0357029387016923,0.0620978356882749,0.0918200259061026,0.0582712739029185,0.0606209783568828,0.0595246823709321,0.0573460559529919,0.0594758029320681,0.0731725199794706,0.0721460517633258,0.0722228623101121,0.0626599492352114,0.0622060687314738,0.059608475694699,0.0649398259193699,0.0649328431423893,0.0610294708102465,0.046390078870466,0.0289575761384545,0.0179841421134771,0.0185113417755107
"Washington","Wahkiakum County",4426,0.502033438770899,0.91640307275192,0.00564844103027564,0.0180750112968821,0.05286940804338,0.0309534568459105,0.0519656574785359,0.0517397198373249,0.0598734749209218,0.0393131495707185,0.0413465883416177,0.0381834613646634,0.0408947130591957,0.043605964753728,0.0512878445549028,0.0643922277451423,0.0729778581111613,0.0917306823316765,0.100090375056484,0.0944419340262088,0.0603253502033439,0.0370537731586082,0.0298237686398554
"Washington","Walla Walla County",60922,0.511112570171695,0.91343028790913,0.023210006237484,0.0176947572305571,0.214996224680739,0.0547585437116313,0.0573356094678441,0.0609139555497193,0.0773283871179541,0.0886215160368996,0.0677916023768097,0.0610616854338334,0.0611765864548111,0.0538721644069466,0.0542168674698795,0.0568267620892288,0.0613899740651981,0.064180427431798,0.0566790322051147,0.0448770559075539,0.0312859065690555,0.0205344538918617,0.0271494698138603
